match number,info
2464910,"{'date': '04 August 2017', 'home team': 'monaco', 'away team': 'toulouse', 'home goals': 3, 'away goals': 2, 'home lineup raw names': ['danijel-subasic', 'djibril-sidibe', 'jorge-marco-de-oliveira-moraes', 'jemerson-de-jesus-nascimento', 'kamil-glik', 'fabio-henrique-tavares', 'marcos-paulo-mesquita-lopes', 'joao-filipe-iria-santos-moutinho', 'thomas-lemar', 'kylian-mbappe-lottin', 'radamel-falcao-garcia-zarate'], 'away lineup raw names': ['alban-lafont', 'kelvin-amian-adou', 'jacques-francois-moubandje', 'steeve-yago', 'christopher-jullien', 'ibrahim-sangare', 'jimmy-durmaz', 'alexis-blin', 'zinedine-machach', 'andy-delort', 'corentin-jean'], 'home lineup names': ['d-subasic', 'd-sidibe', 'jorge', 'jemerson', 'k-glik', 'fabinho', 'rony-lopes', 'joao-moutinho', 't-lemar', 'k-mbappe', 'r-falcao'], 'away lineup names': ['a-lafont', 'k-amian', 'f-moubandje', 's-yago', 'c-jullien', 'i-sangare', 'j-durmaz', 'a-blin', 'z-machach', 'a-delort', 'c-jean'], 'home lineup numbers': [1, 19, 6, 5, 25, 2, 20, 8, 27, 10, 9], 'away lineup numbers': [40, 2, 29, 20, 6, 17, 21, 27, 7, 10, 8], 'home lineup nationalities': ['croatia', 'france', 'brazil', 'brazil', 'poland', 'brazil', 'portugal', 'portugal', 'france', 'france', 'colombia'], 'away lineup nationalities': ['france', 'france', 'switzerland', 'burkina-faso', 'france', 'cote-d-ivoire', 'sweden', 'france', 'france', 'france', 'france'], 'url': 'https://www.betstudy.com/soccer-stats/match/monaco-toulouse-2464910/'}"
2236761,"{'date': '12 August 2016', 'home team': 'bastia', 'away team': 'psg', 'home goals': 0, 'away goals': 1, 'home lineup raw names': ['jean-louis-leca', 'alexander-djiku', 'florian-marange', 'sebastien-squillaci', 'mathieu-peybernes', 'yannick-cahuzac', 'lassana-coulibaly', 'mehdi-mostefa-sbaa', 'allan-saint-maximin', 'enzo-crivelli', 'abdoulaye-sadio-diallo'], 'away lineup raw names': ['kevin-trapp', 'serge-aurier', 'layvin-kurzawa', 'presnel-kimpembe', 'david-luiz-moreira-marinho', 'thiago-motta', 'angel-fabian-di-maria-hernandez', 'adrien-rabiot', 'hatem-ben-arfa', 'javier-matias-pastore', 'lucas-rodrigues-moura-da-silva'], 'home lineup names': ['j-leca', 'a-djiku', 'f-marange', 's-squillaci', 'm-peybernes', 'y-cahuzac', 'l-coulibaly', 'm-mostefa', 'a-saint-maximin', 'e-crivelli', 's-diallo'], 'away lineup names': ['k-trapp', 's-aurier', 'l-kurzawa', 'p-kimpembe', 'david-luiz', 't-motta', 'a-di-maria', 'a-rabiot', 'h-ben-arfa', 'j-pastore', 'lucas-moura'], 'home lineup numbers': [16, 23, 28, 5, 17, 18, 25, 14, 6, 27, 2], 'away lineup numbers': [1, 19, 20, 3, 32, 8, 11, 25, 21, 10, 7], 'home lineup nationalities': ['france', 'france', 'france', 'france', 'france', 'france', 'mali', 'algeria', 'france', 'france', 'guinea'], 'away lineup nationalities': ['germany', 'cote-d-ivoire', 'france', 'france', 'brazil', 'italy', 'argentina', 'france', 'france', 'argentina', 'brazil'], 'url': 'https://www.betstudy.com/soccer-stats/match/bastia-psg-2236761/'}"
2045807,"{'date': '07 August 2015', 'home team': 'lille', 'away team': 'psg', 'home goals': 0, 'away goals': 1, 'home lineup raw names': ['vincent-enyeama', 'sebastien-corchia', 'djibril-sidibe', 'benjamin-pavard', 'renato-civelli', 'florent-balmont', 'ibrahim-amadou', 'rio-antonio-zoba-mavuba', 'sofiane-boufal', 'eric-bautheac', 'serhou-guirassy'], 'away lineup raw names': ['kevin-trapp', 'serge-aurier', 'maxwell-scherrer-cabelino-andrade', 'thiago-emiliano-da-silva', 'david-luiz-moreira-marinho', 'marco-verratti', 'adrien-rabiot', 'blaise-matuidi', 'lucas-rodrigues-moura-da-silva', 'javier-matias-pastore', 'edinson-roberto-cavani-gomez'], 'home lineup names': ['v-enyeama', 's-corchia', 'd-sidibe', 'b-pavard', 'r-civelli', 'f-balmont', 'i-amadou', 'r-mavuba', 's-boufal', 'e-bautheac', 's-guirassy'], 'away lineup names': ['k-trapp', 's-aurier', 'maxwell', 'thiago-silva', 'david-luiz', 'm-verratti', 'a-rabiot', 'b-matuidi', 'lucas-moura', 'j-pastore', 'e-cavani'], 'home lineup numbers': [1, 2, 19, 28, 5, 4, 6, 24, 7, 9, 12], 'away lineup numbers': [16, 19, 17, 2, 32, 6, 25, 14, 7, 27, 9], 'home lineup nationalities': ['nigeria', 'france', 'france', 'france', 'argentina', 'france', 'france', 'france', 'morocco', 'france', 'france'], 'away lineup nationalities': ['germany', 'cote-d-ivoire', 'brazil', 'brazil', 'brazil', 'italy', 'france', 'france', 'brazil', 'argentina', 'uruguay'], 'url': 'https://www.betstudy.com/soccer-stats/match/lille-psg-2045807/'}"
1686679,"{'date': '08 August 2014', 'home team': 'reims', 'away team': 'psg', 'home goals': 2, 'away goals': 2, 'home lineup raw names': ['johny-placide', 'gregory-bourillon', 'franck-signorino', 'mickael-tacalfred', 'aissa-mandi', 'mads-winther-albaek', 'antoine-devaux', 'prince-oniangue', 'diego-rigonato-rodrigues', 'odair-junior-lopes-fortes', 'gaetan-charbonnier'], 'away lineup raw names': ['salvatore-sirigu', 'thiago-emiliano-da-silva', 'gregory-van-der-wiel', 'marcos-aoas-correa', 'lucas-digne', 'marco-verratti', 'thiago-motta', 'javier-matias-pastore', 'lucas-rodrigues-moura-da-silva', 'zlatan-ibrahimovic', 'edinson-roberto-cavani-gomez'], 'home lineup names': ['j-placide', 'g-bourillon', 'f-signorino', 'm-tacalfred', 'a-mandi', 'm-albaek', 'a-devaux', 'p-oniangue', 'diego', 'odair-fortes', 'g-charbonnier'], 'away lineup names': ['s-sirigu', 'thiago-silva', 'g-van-der-wiel', 'marquinhos', 'l-digne', 'm-verratti', 't-motta', 'j-pastore', 'lucas-moura', 'z-ibrahimovic', 'e-cavani'], 'home lineup numbers': [30, 5, 3, 22, 23, 17, 6, 8, 11, 7, 10], 'away lineup numbers': [30, 2, 23, 5, 21, 24, 8, 27, 7, 10, 9], 'home lineup nationalities': ['haiti', 'france', 'france', 'guadeloupe', 'algeria', 'denmark', 'france', 'congo', 'brazil', 'cape-verde-islands', 'france'], 'away lineup nationalities': ['italy', 'brazil', 'netherlands', 'brazil', 'france', 'italy', 'italy', 'argentina', 'brazil', 'sweden', 'uruguay'], 'url': 'https://www.betstudy.com/soccer-stats/match/reims-psg-1686679/'}"
1686681,"{'date': '09 August 2014', 'home team': 'bastia', 'away team': 'olympique-marseille', 'home goals': 3, 'away goals': 3, 'home lineup raw names': ['alphonse-areola', 'julian-palmieri', 'sebastien-squillaci', 'drissa-diakite', 'christian-koffi-romaric-n-dri', 'yannick-cahuzac', 'guillaume-gillet', 'ryad-boudebouz', 'floyd-ayite', 'christopher-maboulou', 'evaeverson-lemos-da-silva-brandao'], 'away lineup raw names': ['steve-mandanda', 'jeremy-morel', 'stephane-sparagna', 'nicolas-n-koulou', 'benjamin-mendy', 'brice-dja-djedje', 'gilbert-gianelli-imbula-wanga', 'florian-thauvin', 'dimitri-payet', 'romain-alessandrini', 'andre-pierre-gignac'], 'home lineup names': ['a-areola', 'j-palmieri', 's-squillaci', 'd-diakite', 'c-romaric', 'y-cahuzac', 'g-gillet', 'r-boudebouz', 'f-ayite', 'c-maboulou', 'brandao'], 'away lineup names': ['s-mandanda', 'j-morel', 's-sparagna', 'n-n-koulou', 'b-mendy', 'b-dja-djedje', 'g-imbula', 'f-thauvin', 'd-payet', 'r-alessandrini', 'a-gignac'], 'home lineup numbers': [1, 15, 5, 23, 6, 18, 27, 10, 7, 22, 26], 'away lineup numbers': [30, 15, 5, 3, 23, 26, 25, 14, 17, 11, 9], 'home lineup nationalities': ['france', 'france', 'france', 'mali', 'cote-d-ivoire', 'france', 'belgium', 'algeria', 'togo', 'congo', 'brazil'], 'away lineup nationalities': ['france', 'madagascar', 'france', 'cameroon', 'france', 'cote-d-ivoire', 'congo-dr', 'france', 'france', 'france', 'france'], 'url': 'https://www.betstudy.com/soccer-stats/match/bastia-olympique-marseille-1686681/'}"
1686697,"{'date': '09 August 2014', 'home team': 'nice', 'away team': 'toulouse', 'home goals': 3, 'away goals': 2, 'home lineup raw names': ['mouez-hassen', 'mathieu-bodmer', 'romain-genevois', 'gregoire-puel', 'jordan-amavi', 'eric-bautheac', 'niklas-hult', 'nampalys-mendy', 'valentin-eysseric', 'jeremy-pied', 'dario-cvitanich'], 'away lineup raw names': ['zacharie-boucher', 'william-matheus-da-silva', 'dusan-veskovac', 'uros-spajic', 'issiaga-sylla', 'dragos-grigore', 'etienne-didot', 'adrien-regattin', 'yann-bodiger', 'wissam-ben-yedder', 'martin-braithwaite-christensen'], 'home lineup names': ['m-hassen', 'm-bodmer', 'r-genevois', 'g-puel', 'j-amavi', 'e-bautheac', 'n-hult', 'n-mendy', 'v-eysseric', 'j-pied', 'd-cvitanich'], 'away lineup names': ['z-boucher', 'william-matheus', 'd-veskovac', 'u-spajic', 'issiaga-sylla', 'd-grigore', 'e-didot', 'a-regattin', 'y-bodiger', 'w-ben-yedder', 'm-braithwaite'], 'home lineup numbers': [1, 24, 25, 15, 19, 11, 13, 22, 10, 14, 12], 'away lineup numbers': [1, 6, 22, 15, 5, 25, 8, 17, 34, 10, 9], 'home lineup nationalities': ['tunisia', 'france', 'haiti', 'france', 'france', 'france', 'sweden', 'france', 'france', 'france', 'argentina'], 'away lineup nationalities': ['france', 'brazil', 'serbia', 'serbia', 'guinea', 'romania', 'france', 'morocco', 'france', 'france', 'denmark'], 'url': 'https://www.betstudy.com/soccer-stats/match/nice-toulouse-1686697/'}"
1686695,"{'date': '09 August 2014', 'home team': 'nantes', 'away team': 'lens', 'home goals': 1, 'away goals': 0, 'home lineup raw names': ['maxime-dupe', 'kian-hansen', 'issa-cissokho', 'oswaldo-augusto-vizcarrondo-araujo', 'olivier-veigneau', 'lucas-deaux', 'alejandro-bedoya', 'jordan-veretout', 'vincent-bessat', 'serge-gakpe', 'fernando-luis-aristeguieta-de-luca'], 'away lineup raw names': ['rudy-riou', 'loick-landre', 'ludovic-baal', 'ahmed-kantari', 'jean-philippe-gbamin', 'alharbi-el-jadeyaoui', 'jerome-le-moigne', 'benjamin-bourigeaud', 'pablo-chavarria', 'yoann-touzghar', 'adamo-coulibaly'], 'home lineup names': ['m-dupe', 'k-hansen', 'i-cissokho', 'o-vizcarrondo', 'o-veigneau', 'l-deaux', 'a-bedoya', 'j-veretout', 'v-bessat', 's-gakpe', 'f-aristeguieta'], 'away lineup names': ['r-riou', 'l-landre', 'ludovic-baal', 'a-kantari', 'j-gbamin', 'a-el-jadeyaoui', 'j-le-moigne', 'b-bourigeaud', 'p-chavarria', 'y-touzghar', 'a-coulibaly'], 'home lineup numbers': [30, 2, 22, 4, 5, 18, 7, 25, 8, 13, 10], 'away lineup numbers': [1, 22, 24, 4, 25, 21, 6, 29, 11, 7, 9], 'home lineup nationalities': ['france', 'denmark', 'senegal', 'venezuela', 'france', 'france', 'usa', 'france', 'france', 'togo', 'venezuela'], 'away lineup nationalities': ['france', 'france', 'french-guiana', 'morocco', 'cote-d-ivoire', 'morocco', 'france', 'france', 'argentina', 'tunisia', 'france'], 'url': 'https://www.betstudy.com/soccer-stats/match/nantes-lens-1686695/'}"
1479053,"{'date': '09 August 2013', 'home team': 'montpellier', 'away team': 'psg', 'home goals': 1, 'away goals': 1, 'home lineup raw names': ['geoffrey-jourdren', 'daniel-congre', 'vitorino-hilton-da-silva', 'siaka-chico-tiene', 'abdelhamid-el-kaoutari', 'joris-marveaux', 'remy-cabella', 'benjamin-stambouli', 'anthony-mounier', 'emanuel-herrera', 'souleymane-camara'], 'away lineup raw names': ['salvatore-sirigu', 'thiago-emiliano-da-silva', 'alex-rodrigo-dias-da-costa', 'maxwell-scherrer-cabelino-andrade', 'christophe-jallet', 'blaise-matuidi', 'marco-verratti', 'javier-matias-pastore', 'lucas-rodrigues-moura-da-silva', 'zlatan-ibrahimovic', 'ezequiel-ivan-lavezzi'], 'home lineup names': ['g-jourdren', 'd-congre', 'hilton', 's-tiene', 'a-el-kaoutari', 'j-marveaux', 'r-cabella', 'b-stambouli', 'a-mounier', 'e-herrera', 's-camara'], 'away lineup names': ['s-sirigu', 'thiago-silva', 'alex', 'maxwell', 'c-jallet', 'b-matuidi', 'm-verratti', 'j-pastore', 'lucas-moura', 'z-ibrahimovic', 'e-lavezzi'], 'home lineup numbers': [16, 3, 4, 5, 21, 6, 10, 22, 7, 11, 19], 'away lineup numbers': [30, 2, 13, 17, 26, 14, 24, 27, 29, 10, 22], 'home lineup nationalities': ['france', 'france', 'brazil', 'cote-d-ivoire', 'morocco', 'france', 'france', 'france', 'france', 'argentina', 'senegal'], 'away lineup nationalities': ['italy', 'brazil', 'brazil', 'brazil', 'france', 'france', 'italy', 'argentina', 'brazil', 'sweden', 'argentina'], 'url': 'https://www.betstudy.com/soccer-stats/match/montpellier-psg-1479053/'}"
1479056,"{'date': '10 August 2013', 'home team': 'valenciennes', 'away team': 'toulouse', 'home goals': 3, 'away goals': 0, 'home lineup raw names': ['nicolas-penneteau', 'david-ducourtioux', 'arthur-masuaku', 'lindsay-rose', 'gaetan-bong-songo', 'rudy-mater', 'mathieu-dossevi', 'jose-saez', 'maor-melikson', 'eloge-ethisse-enza-yamissi', 'gregory-pujol'], 'away lineup raw names': ['ali-ahamada', 'issiaga-sylla', 'uros-spajic', 'steeve-yago', 'aymen-abdennour', 'jean-daniel-akpa-akpro', 'francois-pantxi-sirieix', 'adrien-regattin', 'oscar-guido-trejo', 'eden-ben-basat', 'wissam-ben-yedder'], 'home lineup names': ['n-penneteau', 'd-ducourtioux', 'a-masuaku', 'l-rose', 'g-bong', 'r-mater', 'm-dossevi', 'j-saez', 'm-melikson', 'e-enza-yamissi', 'g-pujol'], 'away lineup names': ['a-ahamada', 'issiaga-sylla', 'u-spajic', 's-yago', 'a-abdennour', 'j-akpa-akpro', 'p-sirieix', 'a-regattin', 'o-trejo', 'e-ben-basat', 'w-ben-yedder'], 'home lineup numbers': [1, 2, 3, 20, 24, 25, 10, 23, 27, 4, 28], 'away lineup numbers': [30, 5, 15, 20, 23, 4, 14, 17, 18, 9, 10], 'home lineup nationalities': ['france', 'france', 'congo-dr', 'mauritius', 'cameroon', 'france', 'togo', 'france', 'israel', 'central-african-republic', 'france'], 'away lineup nationalities': ['comoros', 'guinea', 'serbia', 'burkina-faso', 'tunisia', 'cote-d-ivoire', 'france', 'morocco', 'argentina', 'israel', 'france'], 'url': 'https://www.betstudy.com/soccer-stats/match/valenciennes-toulouse-1479056/'}"
1479055,"{'date': '10 August 2013', 'home team': 'rennes', 'away team': 'reims', 'home goals': 2, 'away goals': 1, 'home lineup raw names': ['benoit-costil', 'kevin-theophile-catherine', 'jean-armel-kana-biyik', 'romain-danze', 'yassine-jebbour', 'jean-ii-makoun', 'vincent-pajot', 'anders-agnes-konradsen', 'zana-allee', 'jonathan-pitroipa', 'mevlut-erdinc'], 'away lineup raw names': ['kossi-agassa', 'franck-signorino', 'mickael-tacalfred', 'aissa-mandi', 'anthony-weber', 'grzegorz-krychowiak', 'antoine-devaux', 'prince-oniangue', 'floyd-ayite', 'odair-junior-lopes-fortes', 'gaetan-courtet'], 'home lineup names': ['b-costil', 'k-theophile-catherine', 'j-kana-biyik', 'r-danze', 'y-jebbour', 'j-makoun', 'v-pajot', 'a-konradsen', 'z-allee', 'j-pitroipa', 'm-erdinc'], 'away lineup names': ['k-agassa', 'f-signorino', 'm-tacalfred', 'a-mandi', 'a-weber', 'g-krychowiak', 'a-devaux', 'p-oniangue', 'f-ayite', 'odair-fortes', 'g-courtet'], 'home lineup numbers': [1, 2, 5, 29, 12, 15, 17, 23, 25, 7, 9], 'away lineup numbers': [16, 3, 22, 23, 25, 4, 6, 8, 20, 7, 18], 'home lineup nationalities': ['france', 'france', 'cameroon', 'france', 'morocco', 'cameroon', 'france', 'norway', 'france', 'burkina-faso', 'turkey'], 'away lineup nationalities': ['togo', 'france', 'guadeloupe', 'algeria', 'france', 'poland', 'france', 'congo', 'togo', 'cape-verde-islands', 'france'], 'url': 'https://www.betstudy.com/soccer-stats/match/rennes-reims-1479055/'}"
